loan_amount,customer_income,age,tenure,previous_loans,repayment_history,target
5,6036,30,2,4,1,1
12,7068,32,3,4,1,0
7,6688,35,5,3,1,1
7,7233,50,9,4,1,1
5,5111,23,4,2,1,1
15,3324,44,1,1,1,0
9,8367,40,4,4,1,1
14,2317,44,6,2,1,0
11,4396,51,5,1,0,0
14,4162,55,1,1,1,1
13,4745,31,4,4,1,0
16,7442,53,6,2,0,0
11,3591,25,4,4,0,0
13,5111,52,9,3,1,0
12,7985,36,5,1,1,1
16,8183,47,8,4,1,0
6,5930,31,9,1,1,1
5,3996,37,5,2,0,1
11,7868,42,6,0,1,1
11,3312,57,1,4,1,0
18,3285,41,7,4,1,0
12,6311,31,4,1,0,0
9,9314,43,2,2,1,1
7,4383,55,5,3,0,1
16,5239,40,3,2,1,1
12,4139,39,6,4,1,0
10,8496,36,8,3,1,0
15,8714,20,7,2,0,0
7,9738,59,3,0,1,1
5,8959,36,8,1,1,1
7,3704,26,2,2,1,1
9,8924,45,9,2,1,1
19,2362,37,4,0,1,0
18,4604,24,1,4,1,0
7,9512,31,8,1,1,1
5,3716,26,7,2,1,1
9,7289,36,5,3,0,1
14,6451,31,5,2,1,1
11,6286,55,7,1,1,1
19,5738,53,5,2,0,0
18,4469,57,8,0,1,1
11,6795,34,6,2,1,1
15,8150,47,5,2,1,1
13,8276,26,9,3,1,0
19,9914,50,2,0,0,0
19,2556,42,1,0,1,0
14,2825,31,8,2,0,0
14,4808,28,3,3,1,0
16,7150,52,7,2,0,0
17,8678,58,8,2,0,0
7,6521,31,6,1,1,1
19,9561,47,9,1,1,1
11,4719,58,7,3,1,0
5,8506,21,5,4,1,1
8,5508,21,8,1,0,1
17,5741,45,2,4,0,0
8,3574,25,7,0,1,1
18,5998,19,4,1,0,0
9,4129,58,9,1,1,1
11,4403,39,1,3,1,0
11,5329,58,7,4,1,0
17,9885,33,6,1,1,1
19,2588,46,8,1,1,0
15,4012,47,5,3,1,0
17,3547,29,1,3,0,0
8,2294,52,1,4,0,1
17,3985,28,9,0,1,0
11,7343,38,6,0,1,1
15,7644,38,5,2,1,1
7,5117,22,1,1,1,1
10,3690,37,6,4,0,0
16,3136,54,6,1,1,0
6,7352,20,3,4,1,1
14,4064,50,8,4,0,0
17,6455,26,1,4,1,0
18,9390,26,1,1,0,0
13,9009,21,6,3,1,0
9,6795,52,1,1,1,1
10,6543,34,6,4,1,0
16,8999,51,1,2,1,1
16,8508,41,6,0,1,1
16,6770,49,3,4,1,0
16,3007,18,8,2,1,0
8,7445,25,6,3,1,1
18,4514,40,1,4,1,0
18,8557,57,5,2,0,0
15,5526,29,8,4,1,0
14,6681,29,3,1,0,0
11,7352,32,6,2,0,0
16,3247,58,5,1,1,0
13,7089,36,6,1,1,1
11,5902,43,1,2,0,0
18,3435,46,7,0,1,0
5,2571,39,9,2,1,1
5,4382,57,2,0,1,1
13,3245,38,5,4,0,0
15,4084,55,4,4,1,0
18,7084,37,6,2,1,1
13,2277,46,6,4,1,0
8,7315,21,2,3,0,1
17,9059,24,2,1,0,0
13,3887,45,4,1,1,0
7,6579,45,1,0,1,1
11,3265,21,9,4,0,0
10,9491,39,7,0,0,0
12,6826,29,7,1,1,1
15,8335,20,3,1,0,0
13,3040,39,3,4,1,0
18,8667,19,1,3,0,0
9,2917,41,3,3,0,1
5,8544,51,3,4,1,1
7,2885,44,4,4,1,1
14,4752,58,4,0,1,1
16,2021,18,3,4,1,0
12,6569,25,8,3,1,0
19,5191,40,8,4,1,0
15,8353,55,1,0,0,0
10,4353,23,7,0,1,1
12,9437,39,2,0,1,1
13,6799,42,1,0,1,1
8,2686,35,3,2,0,1
5,2284,34,4,4,1,1
18,6811,29,6,1,1,1
5,5747,23,5,4,1,1
14,2762,43,4,2,0,0
8,7346,44,8,0,0,1
16,7043,25,4,2,1,1
18,4428,36,2,3,0,0
11,4507,59,3,3,1,0
6,7126,18,6,4,1,1
7,2028,46,8,4,0,1
5,2906,52,8,1,1,1
9,5104,57,9,1,1,1
5,9813,31,7,3,1,1
12,9022,52,2,0,0,0
5,8222,37,8,2,0,1
15,5999,30,7,1,1,1
5,4994,55,8,1,0,1
6,4506,25,3,0,1,1
6,6665,37,7,0,0,1
16,8102,50,9,4,1,0
10,5609,43,3,2,1,1
11,5553,56,6,0,1,1
9,3453,38,2,1,0,1
5,6833,59,2,1,1,1
5,5356,58,5,3,0,1
7,2515,26,5,0,1,1
18,8096,41,7,4,0,0
6,9266,54,2,2,1,1
9,8540,58,7,4,1,1
16,9656,34,5,1,0,0
14,2038,41,6,4,1,0
10,5342,38,8,1,0,0
11,2886,56,4,1,1,0
8,4844,58,7,1,1,1
11,4204,56,6,1,1,1
15,3098,30,2,1,1,0
12,9027,28,8,3,0,0
15,3823,36,9,4,1,0
5,5201,28,5,3,0,1
19,7806,30,4,3,1,0
10,7069,18,6,0,1,1
12,5155,57,8,0,1,1
9,5093,36,3,0,0,1
8,5530,29,1,2,1,1
6,7658,25,4,0,1,1
10,5778,25,4,4,1,0
10,4896,29,1,3,0,0
15,5453,50,9,4,0,0
19,8891,43,3,0,0,0
5,5511,56,5,2,1,1
13,9771,45,6,2,0,0
16,2988,22,8,3,1,0
15,6116,25,6,4,0,0
10,8446,42,3,1,1,1
17,6964,44,6,4,1,0
7,6026,40,1,0,1,1
8,6179,47,4,1,1,1
16,9941,40,6,2,0,0
15,3682,37,7,3,0,0
8,8072,35,3,3,0,1
7,9620,35,9,2,1,1
14,7506,19,7,0,1,1
7,7626,21,1,2,1,1
19,9424,47,2,0,1,1
7,6665,50,1,1,1,1
8,5963,53,9,2,1,1
11,2933,35,9,0,1,0
8,5598,54,7,1,0,1
13,5233,36,3,2,1,1
5,3980,45,5,3,1,1
12,9330,57,4,2,1,1
11,3855,37,7,4,1,0
6,5056,50,9,2,1,1
12,2792,29,2,4,0,0
5,2791,32,8,1,1,1
15,9691,58,9,2,1,1
16,3809,56,9,1,0,0
13,7390,19,7,1,1,1
13,8635,46,9,0,1,1
6,4255,58,9,1,1,1
11,5610,27,3,1,0,0
19,3607,19,4,2,1,0
18,7179,28,2,2,1,1
14,8573,30,3,3,1,0
7,2984,27,5,0,1,1
11,7776,31,5,1,1,1
16,5676,35,6,0,1,1
14,5380,26,7,4,1,0
13,2519,56,7,1,1,0
8,2590,45,1,0,1,1
16,3050,20,2,3,0,0
5,7805,37,9,3,1,1
6,5633,23,2,1,1,1
5,8131,44,6,4,1,1
18,8342,19,1,3,0,0
16,8530,46,3,3,1,0
9,6444,55,2,4,0,1
9,2959,20,3,0,0,1
15,8059,33,5,3,1,0
11,2692,47,6,2,1,0
13,7655,57,9,3,1,0
13,5899,19,4,0,0,0
7,6473,34,7,0,1,1
7,4946,58,6,1,0,1
7,9059,29,2,2,1,1
8,9725,52,8,0,1,1
12,2526,18,7,4,1,0
10,5224,32,7,2,1,1
12,8877,43,8,2,0,0
5,4253,54,1,4,1,1
12,8598,38,1,3,0,0
8,5344,48,8,4,1,1
15,5965,42,4,4,1,0
5,7355,40,5,3,0,1
12,3875,41,8,3,1,0
8,3763,55,5,3,1,1
10,2520,45,4,3,0,0
12,7797,38,6,3,0,0
8,3016,35,5,4,0,1
18,9099,53,7,1,1,1
7,9998,52,7,1,1,1
18,8869,26,4,0,0,0
13,7109,55,5,1,0,0
7,8644,47,3,1,1,1
13,2116,51,4,4,1,0
17,4433,49,4,3,1,0
6,7463,20,3,3,1,1
18,2583,20,5,4,0,0
6,2394,45,5,1,1,1
6,7183,32,7,4,1,1
10,5788,58,4,0,0,0
7,4768,40,4,3,1,1
17,6167,57,9,2,1,1
13,5860,28,6,0,1,1
8,2273,49,4,0,0,1
5,4013,53,2,4,1,1
8,7439,50,6,1,1,1
5,6433,41,2,3,1,1
18,3389,56,5,2,1,0
9,5566,51,6,0,0,1
8,6702,45,4,2,0,1
12,2165,54,3,1,1,0
12,3567,24,7,1,0,0
11,8154,21,2,2,1,1
7,7420,54,6,3,1,1
5,2728,18,4,1,1,1
5,8944,18,6,2,1,1
16,4043,37,4,0,1,1
15,6197,36,4,2,0,0
7,5496,46,4,2,1,1
10,7511,27,9,4,1,0
11,2778,35,7,1,1,0
10,2213,45,3,3,0,0
18,5762,52,3,3,1,0
18,7207,48,6,4,0,0
10,3576,44,6,3,0,0
10,4448,28,4,2,0,0
17,8731,55,9,4,1,0
7,4936,22,4,0,0,1
10,5117,25,9,1,0,0
12,7791,51,4,1,0,0
15,9630,29,2,1,0,0
15,2591,55,2,2,1,0
6,7429,18,5,0,0,1
9,7205,48,4,4,0,1
18,8235,21,7,4,1,0
5,9827,22,5,1,1,1
16,4720,47,6,0,1,1
19,2713,41,4,0,1,0
5,2935,20,2,0,0,1
9,8047,28,9,3,1,1
16,6337,21,7,3,0,0
17,8139,43,4,1,1,1
7,2001,44,3,0,1,1
8,8368,44,3,0,0,1
7,4848,59,9,4,1,1
5,7864,23,5,4,1,1
5,6044,32,3,1,1,1
16,3949,47,5,0,1,0
16,8732,59,2,1,1,1
18,8259,54,4,4,0,0
17,9833,54,2,4,0,0
18,2917,59,2,3,1,0
9,5174,54,8,1,1,1
10,4241,52,1,1,1,1
7,9333,40,7,0,1,1
16,9014,23,5,0,1,1
13,2089,21,8,3,1,0
9,3709,35,1,2,1,1
12,4169,26,7,2,1,1
17,6238,46,5,2,1,1
5,5041,30,4,1,1,1
18,2105,34,7,1,1,0
9,2886,49,2,4,0,1
19,2427,39,1,1,1,0
7,7424,21,1,1,1,1
16,3895,22,1,1,1,0
5,8090,54,5,3,1,1
8,2316,58,7,1,1,1
19,8082,30,2,0,0,0
17,2634,51,8,0,1,0
9,3925,39,4,4,1,1
11,4056,40,3,3,1,0
5,8917,20,8,0,0,1
7,5144,59,2,3,1,1
6,9526,51,3,3,1,1
13,4270,49,3,4,1,0
14,3439,38,1,3,1,0
19,2552,38,6,1,1,0
10,9537,28,2,3,1,0
14,2715,56,1,4,1,0
7,7383,21,2,4,1,1
12,5911,18,6,4,0,0
18,3713,45,4,0,1,0
12,7979,41,6,1,1,1
6,5389,52,9,0,1,1
19,3107,30,8,2,1,0
10,7437,51,1,1,0,0
11,6206,28,8,3,0,0
6,2250,53,9,4,1,1
19,4430,34,6,2,0,0
15,4054,52,5,1,1,1
14,2458,35,6,0,1,0
6,7203,57,6,4,1,1
14,2207,39,9,0,0,0
5,2899,41,4,1,0,1
12,5461,36,2,1,1,1
5,5385,54,9,2,1,1
13,2021,56,2,3,1,0
15,2409,38,9,0,1,0
10,2894,25,2,2,1,0
11,2514,45,8,4,1,0
17,9294,22,9,3,1,0
14,6904,34,9,2,1,1
11,9867,54,9,0,0,0
14,6969,53,2,1,0,0
7,6109,36,4,4,1,1
6,7066,44,7,0,1,1
13,9121,51,2,3,0,0
12,9157,28,1,3,0,0
17,9179,29,3,1,1,1
16,4134,38,4,1,0,0
14,5595,28,8,4,1,0
11,4956,56,6,4,1,0
13,3560,45,2,1,1,0
8,7420,22,9,1,1,1
17,3266,34,2,3,1,0
8,4169,37,5,1,1,1
5,9314,58,4,2,1,1
12,5638,29,7,0,1,1
18,2749,23,8,1,1,0
18,5427,34,5,4,0,0
16,6780,36,5,2,0,0
7,3927,43,2,4,0,1
11,5804,49,8,2,0,0
19,5702,23,2,1,1,1
16,4356,53,6,0,1,1
6,6790,55,8,4,1,1
6,4335,28,6,2,1,1
11,2306,50,4,3,1,0
19,9979,41,4,1,1,1
10,5665,40,6,0,1,1
7,3989,32,4,1,0,1
13,9057,44,8,3,0,0
14,9890,28,9,0,1,1
19,2661,34,1,3,1,0
18,6644,31,4,1,0,0
17,9519,44,4,2,0,0
10,2311,35,2,1,1,0
14,4920,45,6,1,0,0
14,3082,21,3,1,1,0
10,9810,24,7,4,1,0
5,4971,52,5,3,1,1
8,7833,26,4,3,1,1
14,2754,25,5,3,1,0
10,6130,34,8,4,1,0
19,6540,34,3,2,1,1
10,8236,50,7,1,1,1
15,8078,49,6,2,0,0
16,7326,25,1,4,1,0
9,2352,36,7,3,1,1
5,2902,55,7,1,1,1
12,7451,20,1,0,1,1
9,5888,22,9,0,1,1
16,9005,30,6,2,0,0
16,7844,48,2,3,1,0
16,2158,33,5,0,1,0
9,3977,49,4,2,1,1
11,2956,39,7,4,1,0
8,4071,46,8,2,0,1
10,2403,39,1,2,1,0
17,8948,20,5,2,0,0
8,6611,27,3,1,1,1
18,4779,59,1,2,1,1
19,3387,38,3,2,0,0
7,5453,33,6,1,1,1
11,8675,29,7,1,0,0
12,2955,19,8,4,0,0
8,8295,58,4,3,1,1
17,9729,41,3,0,1,1
6,3712,52,5,0,1,1
16,9090,47,9,2,1,1
14,6703,47,6,4,1,0
18,9784,52,9,2,1,1
7,8563,36,6,0,0,1
5,3273,25,2,1,0,1
12,9284,43,5,3,1,0
19,9009,57,9,4,1,0
7,7631,24,8,1,1,1
16,5811,47,7,3,1,0
14,4625,24,1,4,1,0
11,4382,20,4,4,0,0
14,3441,18,7,0,0,0
9,4979,53,7,1,1,1
14,3797,42,6,4,1,0
9,6390,54,8,4,1,1
18,6009,18,6,3,0,0
11,6850,32,3,0,1,1
19,3394,54,4,2,0,0
13,6281,30,3,0,0,0
16,3269,57,1,2,1,0
9,6732,25,5,1,0,1
5,7387,22,1,1,1,1
14,5714,26,1,4,0,0
14,9404,18,2,1,1,1
5,2529,53,4,4,1,1
19,5623,52,6,0,1,1
6,8164,19,8,1,1,1
18,4958,57,3,0,0,0
10,9904,40,1,0,1,1
13,4914,26,3,1,1,1
12,6889,51,3,0,0,0
17,5591,31,5,1,1,1
9,4147,21,4,1,0,1
5,8895,47,4,1,1,1
17,6573,48,9,2,1,1
11,7718,55,7,0,0,0
19,5369,28,4,3,1,0
9,2939,52,3,1,1,1
10,2525,25,6,0,1,0
17,8477,20,3,4,1,0
11,2001,31,6,1,1,0
7,2374,30,9,1,1,1
16,4340,49,6,3,1,0
14,8980,51,4,2,0,0
7,6005,36,5,2,1,1
9,5052,55,6,1,1,1
10,6648,33,3,0,1,1
13,4365,19,8,4,1,0
17,3525,57,4,4,1,0
18,7947,34,8,0,1,1
16,6476,51,3,1,1,1
9,3646,59,7,4,1,1
19,2013,33,9,2,1,0
5,6599,55,4,0,1,1
18,4278,19,8,3,1,0
18,8104,19,3,1,1,1
18,5155,43,7,0,0,0
8,2129,30,3,4,1,1
9,5814,48,7,1,1,1
16,6933,51,6,2,0,0
14,5216,56,2,1,0,0
14,4938,20,3,1,1,1
9,5928,25,6,2,1,1
11,4040,40,4,2,1,1
8,2027,31,6,1,0,1
5,4113,44,1,2,0,1
18,9330,46,1,0,1,1
18,3252,56,3,2,1,0
9,6356,56,8,2,0,1
11,4046,18,8,1,1,1
14,7568,34,4,0,1,1
14,7543,58,6,3,0,0
10,6555,47,8,3,0,0
9,6023,30,7,4,0,1
8,9843,38,7,2,1,1
6,6396,36,4,2,1,1
8,9062,36,9,0,1,1
19,5374,42,6,3,1,0
14,8430,39,3,4,1,0
14,5466,48,5,0,1,1
7,5081,34,5,2,1,1
14,5778,40,5,3,0,0
5,2629,49,8,4,1,1
12,2269,27,9,1,1,0
9,4639,27,9,3,1,1
17,3993,53,6,4,1,0
8,7724,25,6,0,0,1
12,7897,37,9,1,1,1
11,4891,49,4,4,1,0
6,6957,31,6,4,1,1
5,5432,45,4,2,1,1
16,3280,41,1,3,1,0
15,8276,32,7,2,1,1
8,9443,39,6,1,1,1
12,7895,47,9,4,1,0
16,7802,21,7,2,1,1
6,9115,30,7,3,1,1
7,8656,40,2,1,1,1
16,4360,25,9,0,1,1
5,2575,35,9,2,0,1
5,9029,29,6,1,0,1
17,8099,48,3,0,1,1
7,3307,31,1,2,1,1
15,5192,51,4,1,1,1
9,5178,35,3,1,1,1
16,8052,51,1,2,0,0
7,4734,28,3,1,1,1
5,8116,58,4,4,1,1
5,9371,29,8,2,1,1
12,4212,32,9,1,1,1
14,4352,48,3,0,1,1
15,5568,46,6,0,0,0
16,3655,43,5,4,1,0
17,3579,35,6,2,0,0
17,7943,49,4,1,1,1
16,4203,39,6,1,1,1
19,3390,55,7,0,1,0
18,3742,34,9,4,1,0
6,3925,40,7,0,1,1
17,2619,41,6,0,1,0
7,3274,25,1,4,0,1
6,2956,58,2,2,1,1
7,3939,23,1,1,1,1
11,5953,22,9,2,1,1
5,4381,46,9,3,1,1
14,9809,45,7,3,0,0
12,2968,28,2,3,0,0
17,8654,18,6,4,1,0
14,3316,36,4,0,1,0
14,3043,26,1,2,1,0
14,2281,44,1,1,1,0
18,4844,51,5,3,0,0
6,9168,21,2,2,1,1
7,8262,53,4,3,0,1
13,3058,35,1,3,1,0
11,6293,32,4,1,0,0
8,4532,30,6,4,1,1
14,5828,36,4,0,0,0
9,7178,23,1,4,1,1
6,8980,29,7,2,1,1
17,7280,54,2,4,1,0
15,3008,34,9,2,1,0
17,8834,40,3,2,1,1
12,3229,43,8,0,0,0
8,3035,46,8,1,1,1
13,6585,50,3,0,1,1
9,2275,44,4,4,0,1
17,4740,42,2,2,0,0
13,4289,27,4,3,1,0
8,3239,40,9,3,1,1
14,7370,38,2,2,1,1
9,9978,38,3,0,1,1
13,2125,30,4,1,0,0
12,6065,54,5,0,0,0
7,6312,50,1,2,1,1
5,9473,41,7,2,0,1
7,5868,28,7,1,1,1
8,3208,34,9,4,1,1
6,9206,21,4,4,0,1
5,7342,42,6,1,1,1
11,9351,47,2,4,0,0
12,8638,26,4,3,1,0
11,8570,38,2,4,0,0
18,5249,37,5,4,1,0
9,2918,36,7,4,1,1
16,9595,36,1,3,1,0
5,7413,29,7,4,1,1
11,5923,54,6,3,0,0
17,8294,59,6,1,1,1
11,8527,34,8,0,1,1
13,7757,54,8,1,1,1
7,9980,56,6,0,0,1
13,6403,45,3,1,1,1
18,7455,58,5,0,0,0
5,3969,52,2,0,1,1
5,4793,35,5,2,0,1
18,2891,31,9,0,1,0
8,6470,52,1,0,0,1
13,9175,58,5,2,1,1
10,4033,24,6,4,1,0
17,3364,58,7,4,0,0
15,2128,30,9,2,1,0
7,3014,35,6,3,0,1
5,3799,54,5,0,1,1
8,8812,30,7,0,1,1
16,9519,53,1,2,1,1
17,7477,48,5,2,1,1
13,6612,19,2,3,0,0
7,3518,33,4,4,1,1
16,6181,26,7,1,0,0
13,3198,26,5,4,1,0
11,5873,55,6,0,1,1
16,9360,28,2,2,1,1
18,8454,39,3,3,0,0
19,7238,50,7,4,1,0
8,9385,53,2,3,1,1
7,4474,40,6,4,0,1
14,8089,51,5,0,1,1
19,5485,26,1,1,1,1
9,8257,41,4,3,1,1
9,6049,25,2,3,1,1
7,9312,24,4,1,1,1
16,9705,53,1,3,0,0
13,5719,35,2,3,1,0
8,2302,20,8,4,0,1
15,8887,45,6,4,1,0
9,5952,23,2,1,1,1
8,6683,38,6,0,1,1
9,2986,45,9,3,1,1
11,3863,57,7,0,0,0
13,6440,18,9,1,1,1
11,6909,53,5,1,1,1
17,8083,38,7,4,0,0
9,8944,52,7,3,1,1
14,5072,30,3,2,1,1
14,9314,27,7,1,1,1
11,7406,27,1,3,0,0
18,8095,30,9,0,1,1
19,7773,54,6,4,0,0
14,5124,55,5,0,0,0
9,3327,41,7,1,0,1
7,7188,19,5,1,0,1
11,4408,39,5,0,0,0
17,5673,34,7,1,1,1
15,5291,53,7,3,1,0
15,6033,31,3,1,0,0
6,7105,27,3,4,0,1
19,2703,52,3,3,1,0
16,2574,42,6,2,1,0
13,7704,20,6,1,0,0
14,5232,55,3,1,0,0
14,9848,34,3,4,0,0
16,7208,29,8,4,0,0
5,6783,41,8,0,0,1
17,8924,46,7,0,1,1
10,4632,42,4,0,0,0
11,5828,53,4,4,1,0
18,8732,43,3,0,0,0
17,5230,55,5,0,1,1
12,2488,18,3,2,1,0
14,9114,37,8,0,1,1
13,3347,45,7,1,1,0
6,5681,33,3,4,1,1
15,9548,34,9,3,1,0
14,5173,57,5,2,1,1
6,6589,45,9,4,1,1
9,3667,29,7,4,1,1
17,3637,44,7,1,1,0
9,6114,59,6,0,1,1
10,9621,47,2,1,1,1
7,5553,58,9,0,0,1
12,9761,51,6,0,0,0
17,8540,54,8,4,1,0
5,3000,23,1,0,0,1
10,9446,24,5,2,1,1
8,2850,49,1,2,0,1
5,3388,49,8,2,1,1
19,7450,42,8,4,1,0
11,5712,50,1,1,1,1
13,3367,24,9,3,1,0
17,2821,29,2,0,1,0
8,2454,33,9,3,1,1
8,3624,33,1,1,1,1
10,4772,53,9,1,0,0
16,5726,30,4,4,1,0
19,9232,24,9,2,1,1
7,5147,53,7,2,1,1
17,6089,26,6,1,1,1
16,6806,49,5,4,1,0
10,4190,28,9,4,0,0
11,2916,25,2,0,0,0
15,5986,50,2,2,1,1
14,4875,40,9,1,1,1
14,8748,42,3,3,1,0
7,7592,25,8,2,0,1
11,3440,39,9,0,1,0
18,6400,21,8,4,1,0
7,2735,57,4,1,1,1
17,5568,20,1,2,0,0
17,8434,46,4,3,0,0
6,8059,58,9,0,0,1
16,8245,46,2,0,0,0
18,8105,51,3,2,0,0
14,5338,51,8,3,0,0
8,9010,45,6,0,1,1
16,5015,30,8,1,1,1
12,9789,32,7,0,1,1
17,9117,40,5,3,0,0
19,4889,43,9,4,1,0
13,2961,21,4,4,1,0
11,4989,43,6,2,0,0
5,5848,57,2,3,1,1
7,3026,26,2,0,0,1
17,8228,22,2,0,1,1
16,5865,49,7,4,1,0
18,8471,37,2,4,1,0
13,4863,28,2,1,1,1
19,7569,32,9,4,1,0
16,4501,49,7,1,1,1
5,3947,45,3,0,1,1
13,8772,39,3,1,0,0
12,9388,58,7,1,0,0
5,3177,34,5,2,1,1
10,6760,43,6,4,1,0
9,2011,24,8,1,1,1
10,7252,59,9,0,0,0
14,6399,43,1,3,1,0
16,5364,42,3,1,0,0
17,5022,27,7,4,1,0
17,5371,36,6,2,1,1
17,7859,28,7,0,1,1
19,4830,30,8,2,0,0
9,2042,25,6,3,1,1
10,2943,57,3,1,1,0
9,4390,21,2,1,1,1
15,7445,48,7,4,1,0
16,9981,45,1,1,1,1
9,4545,28,3,0,1,1
8,4411,18,4,3,1,1
7,6986,55,1,2,0,1
7,8570,41,5,3,1,1
8,3004,48,3,1,1,1
13,2020,58,2,2,0,0
6,2406,43,3,4,0,1
19,8762,22,8,3,1,0
13,3014,37,6,2,0,0
5,6431,58,7,2,1,1
18,3838,28,6,2,0,0
19,5188,50,6,0,1,1
19,7243,55,3,3,1,0
5,8542,44,8,2,1,1
9,8936,51,7,3,1,1
10,7923,32,7,2,1,1
10,2714,49,6,4,1,0
7,6146,38,5,4,0,1
11,5854,22,8,4,0,0
13,6419,23,5,1,0,0
15,6884,55,9,2,1,1
16,2140,39,9,1,0,0
14,6565,35,1,3,0,0
12,6882,31,6,1,1,1
10,7921,27,7,3,1,0
16,7453,30,3,3,1,0
12,8012,48,7,3,0,0
16,2963,47,7,1,0,0
9,9151,20,2,2,1,1
12,2372,47,7,1,0,0
14,5635,23,1,2,1,1
16,4541,46,5,2,1,1
8,5610,25,9,3,1,1
14,3692,50,7,1,0,0
12,8894,34,7,2,1,1
14,7275,28,2,4,1,0
16,8434,30,8,2,1,1
6,7767,28,3,4,1,1
16,9311,48,8,1,0,0
16,2105,45,3,1,0,0
9,7539,23,7,1,1,1
13,8813,58,2,2,1,1
8,3681,33,4,0,1,1
15,6097,21,6,2,1,1
10,6016,52,9,2,1,1
19,4636,43,5,3,1,0
5,8787,29,9,3,1,1
13,4137,28,5,2,0,0
